question_text,option_a,option_b,option_c,option_d,correct_index,subject
Who was the first President of India?,Dr Rajendra Prasad,Jawaharlal Nehru,Zakir Husain,S Radhakrishnan,0,SSC
Which river is called the Sorrow of Bihar?,Ganga,Kosi,Gandak,Sone,1,SSC
In which year did the Indian Constitution come into force?,1947,1949,1950,1952,2,SSC
Who wrote the book Arthashastra?,Kalidasa,Chanakya,Valmiki,Vyasa,1,SSC
Which gas is most abundant in the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,1,SSC
Which planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,2,SSC
The Tropic of Cancer passes through how many Indian states?,6,7,8,9,2,SSC
Who is known as the Iron Man of India?,Jawaharlal Nehru,Sardar Patel,Subhash Bose,B R Ambedkar,1,SSC
Which vitamin is produced by sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,3,SSC
What is the capital of Arunachal Pradesh?,Dispur,Itanagar,Kohima,Imphal,1,SSC
Which metal is liquid at room temperature?,Iron,Silver,Mercury,Aluminium,2,SSC
Who was the first Prime Minister of India?,Indira Gandhi,Jawaharlal Nehru,Lal Bahadur Shastri,Gulzarilal Nanda,1,SSC
Which organ purifies blood in the human body?,Heart,Lungs,Liver,Kidney,3,SSC
Which is the longest river in India?,Godavari,Ganga,Yamuna,Brahmaputra,1,SSC
Who appoints the Governor of a state?,Chief Minister,President,Prime Minister,Chief Justice,1,SSC
Which is the smallest continent?,Africa,Europe,Australia,Antarctica,2,SSC
What is the SI unit of force?,Joule,Newton,Pascal,Watt,1,SSC
Who built the Red Fort?,Akbar,Jahangir,Shah Jahan,Aurangzeb,2,SSC
Which gas is used in fire extinguishers?,Oxygen,Hydrogen,Carbon Dioxide,Nitrogen,2,SSC
Which Indian river flows westward?,Ganga,Yamuna,Narmada,Brahmaputra,2,SSC
Who founded the Maurya Empire?,Ashoka,Bindusara,Chandragupta Maurya,Bimbisara,2,SSC
Which amendment reduced voting age to 18?,42nd,44th,61st,73rd,2,SSC
Which blood group is universal donor?,A,B,AB,O,3,SSC
Which is the largest desert in the world?,Thar,Sahara,Gobi,Kalahari,1,SSC
Who composed Vande Mataram?,Rabindranath Tagore,Bankim Chandra Chatterjee,Tulsidas,Surdas,1,SSC
Which part of plant does photosynthesis?,Root,Stem,Leaf,Flower,2,SSC
Which state is known as the Spice Garden of India?,Kerala,Karnataka,Assam,Tamil Nadu,0,SSC
Who was the first woman IPS officer?,Kiran Bedi,Indira Gandhi,Bachendri Pal,Kalpana Chawla,0,SSC
What is the currency of Japan?,Won,Yuan,Yen,Dollar,2,SSC
Which satellite was Indiaâ€™s first?,INSAT,Aryabhata,Chandrayaan-1,PSLV,1,SSC
Article 19 deals with which right?,Equality,Freedom,Religion,Remedies,1,SSC
Which metal is the best conductor?,Copper,Silver,Gold,Aluminium,1,SSC
Netaji refers to whom?,Bhagat Singh,Subhash Chandra Bose,Sardar Patel,Lala Lajpat Rai,1,SSC
Which lake is the largest freshwater lake in India?,Dal Lake,Wular Lake,Loktak Lake,Chilika Lake,1,SSC
Which gas is essential for breathing?,Nitrogen,Oxygen,Carbon Dioxide,Helium,1,SSC
Who was the first Speaker of Lok Sabha?,G V Mavalankar,M A Ayyangar,Rajendra Prasad,Radhakrishnan,0,SSC
Which state has the highest population?,Maharashtra,Bihar,Uttar Pradesh,West Bengal,2,SSC
Which instrument measures blood pressure?,Thermometer,Barometer,Hygrometer,Sphygmomanometer,3,SSC
Punjab Kesari refers to?,Bhagat Singh,Lala Lajpat Rai,Udham Singh,Sukhdev,1,SSC
Which is the largest ocean?,Indian,Atlantic,Pacific,Arctic,2,SSC
Fundamental Rights are in which part?,Part II,Part III,Part IV,Part V,1,SSC
Who discovered gravity?,Newton,Einstein,Galileo,Faraday,0,SSC
Which city is called Pink City?,Udaipur,Jodhpur,Jaipur,Ajmer,2,SSC
Chemical symbol Fe stands for?,Fluorine,Iron,Lead,Zinc,1,SSC
Which soil is best for cotton?,Alluvial,Red,Black,Laterite,2,SSC
Which body conducts SSC exams?,UPSC,CBSE,SSC,NTA,2,SSC
Who was the first Indian woman President?,Indira Gandhi,Pratibha Patil,Droupadi Murmu,Sarojini Naidu,1,SSC
Which gas causes global warming?,Oxygen,Nitrogen,Carbon Dioxide,Helium,2,SSC
Which freedom fighter gave the slogan Inquilab Zindabad?,Bhagat Singh,Subhash Bose,Gandhi,Lajpat Rai,0,SSC
Which continent has no permanent population?,Asia,Europe,Antarctica,Australia,2,SSC
Who is the Father of Indian Constitution?,Jawaharlal Nehru,Sardar Patel,B R Ambedkar,Rajendra Prasad,2,SSC
Which vitamin helps in blood clotting?,Vitamin A,Vitamin B,Vitamin C,Vitamin K,3,SSC
Which Indian state has longest coastline?,Tamil Nadu,Gujarat,Andhra Pradesh,Odisha,1,SSC
Who was the last Governor-General of India?,Lord Mountbatten,C Rajagopalachari,Lord Wavell,Lord Irwin,1,SSC
Which gas is filled in balloons?,Oxygen,Hydrogen,Helium,Nitrogen,2,SSC
Which Indian city is Silicon Valley?,Pune,Hyderabad,Bengaluru,Chennai,2,SSC
Which day is celebrated as Republic Day?,15 August,26 January,2 October,14 April,1,SSC
Which element is essential for bones?,Iron,Calcium,Iodine,Sodium,1,SSC
Which river originates from Yamunotri?,Ganga,Yamuna,Sutlej,Brahmaputra,1,SSC
Who was known as Lokmanya?,Tilak,Gandhi,Nehru,Patel,0,SSC
Which device converts AC to DC?,Transformer,Rectifier,Generator,Motor,1,SSC
Which Mughal ruler was called Alamgir?,Akbar,Jahangir,Aurangzeb,Babur,2,SSC
Which state is largest by area?,Rajasthan,Madhya Pradesh,Maharashtra,Uttar Pradesh,0,SSC
Which is the national flower of India?,Rose,Lotus,Lily,Sunflower,1,SSC
Which Indian movement started in 1942?,Non Cooperation,Civil Disobedience,Quit India,Swadeshi,2,SSC
Which gas is released during respiration?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,2,SSC
Who was the first Chief Justice of India?,H J Kania,B R Ambedkar,M C Setalvad,Radhakrishnan,0,SSC
Which is the highest mountain in India?,Kanchenjunga,Nanda Devi,Mount Everest,Annapurna,0,SSC
Which metal is used in electric wires?,Iron,Aluminium,Copper,Silver,2,SSC
